N_IDE;Elev_pob;Estrato;qvar;All_E;se1;se2;se3;se4;se5;se6;se7;se8;se9;se10;se11;se12;SCALE;SCAWEI;CALWEI;G_WEIG
390.730.100.524;236,972232053;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;237,43;1,00
390.730.100.525;236,972232053;5;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;182,42;0,77
390.730.100.526;236,972232053;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;120,50;0,51
390.730.100.528;236,972232053;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;236,97;276,47;1,17
390.730.100.531;236,972232053;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;172,46;0,73
390.730.100.532;236,972232053;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;172,46;0,73
390.730.100.534;236,972232053;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;172,46;0,73
390.730.100.535;236,972232053;5;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;182,42;0,77
390.730.100.536;236,972232053;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;172,46;0,73
390.730.100.539;236,972232053;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;172,46;0,73
390.730.100.540;236,972232053;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;237,43;1,00
390.730.100.553;236,972232053;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;236,97;237,43;1,00
390.730.100.705;267,944048773;5;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;438,11;1,64
390.730.100.708;267,944048773;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;194,99;0,73
390.730.100.709;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;267,94;407,51;1,52
390.730.100.715;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;268,46;1,00
390.730.100.720;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;267,94;312,61;1,17
390.730.100.721;267,944048773;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;194,99;0,73
390.730.100.722;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;268,46;1,00
390.730.100.723;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;267,94;286,64;1,07
390.730.100.727;267,944048773;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;194,99;0,73
390.730.100.728;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;136,25;0,51
390.730.100.732;267,944048773;5;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;140,10;0,52
390.730.100.734;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;257,71;0,96
390.730.100.735;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;267,94;407,51;1,52
390.730.100.737;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;267,94;254,51;0,95
390.730.100.739;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;267,94;256,90;0,96
390.730.100.740;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;257,71;0,96
390.730.100.741;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;268,46;1,00
390.730.100.746;267,944048773;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;136,25;0,51
390.730.100.754;267,944048773;5;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;267,94;438,11;1,64
390.790.100.202;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;285,61;434,37;1,52
390.790.100.203;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;274,69;0,96
390.790.100.204;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;285,61;271,29;0,95
390.790.100.205;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;274,69;0,96
390.790.100.206;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;285,61;305,53;1,07
390.790.100.207;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;285,61;273,83;0,96
390.790.100.209;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;285,61;271,29;0,95
390.790.100.214;285,606072983;5;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;219,86;0,77
390.790.100.215;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;285,61;305,53;1,07
390.790.100.217;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;285,61;333,21;1,17
390.790.100.218;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;285,61;273,83;0,96
390.790.100.219;285,606072983;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;207,85;0,73
390.790.100.225;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;285,61;434,37;1,52
390.790.100.226;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;286,16;1,00
390.790.100.233;285,606072983;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;207,85;0,73
390.790.100.235;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;285,61;271,29;0,95
390.790.100.237;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;145,24;0,51
390.790.100.239;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;286,16;1,00
390.790.100.249;285,606072983;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;285,61;271,29;0,95
390.790.100.258;285,606072983;5;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,61;219,86;0,77
390.790.100.306;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;246,66;0,96
390.790.100.307;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;256,46;390,04;1,52
390.790.100.319;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;256,46;243,60;0,95
390.790.100.321;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;256,46;299,20;1,17
390.790.100.322;256,455513894;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;186,63;0,73
390.790.100.324;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;256,95;1,00
390.790.100.325;256,455513894;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;186,63;0,73
390.790.100.328;256,455513894;5;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;419,32;1,64
390.790.100.330;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;256,46;245,88;0,96
390.790.100.331;256,455513894;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;186,63;0,73
390.790.100.337;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;256,46;299,20;1,17
390.790.100.338;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;256,46;243,60;0,95
390.790.100.342;256,455513894;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;186,63;0,73
390.790.100.346;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;256,46;243,60;0,95
390.790.100.350;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;130,41;0,51
390.790.100.352;256,455513894;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;186,63;0,73
390.790.100.354;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;256,95;1,00
390.790.100.355;256,455513894;5;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;256,46;390,04;1,52
390.790.100.357;256,455513894;5;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;134,09;0,52
390.790.100.358;256,455513894;5;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,46;186,63;0,73
390.160.100.201;264,151870579;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;299,10;1,13
390.160.100.204;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;264,15;364,68;1,38
390.160.100.205;264,151870579;6;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;274,85;1,04
390.160.100.210;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;264,15;280,81;1,06
390.160.100.212;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;264,15;280,81;1,06
390.160.100.217;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;264,15;283,94;1,07
390.160.100.219;264,151870579;6;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;274,85;1,04
390.160.100.220;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;264,15;283,94;1,07
390.160.100.221;264,151870579;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;299,10;1,13
390.160.100.222;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;215,81;0,82
390.160.100.226;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;264,15;280,81;1,06
390.160.100.228;264,151870579;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;299,10;1,13
390.160.100.230;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;215,81;0,82
390.160.100.232;264,151870579;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;287,58;1,09
390.160.100.234;264,151870579;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;299,10;1,13
390.160.100.235;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;215,81;0,82
390.160.100.236;264,151870579;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;264,15;299,10;1,13
390.160.100.237;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;264,15;280,81;1,06
390.160.100.238;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;264,15;364,68;1,38
390.160.100.239;264,151870579;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;264,15;218,61;0,83
390.160.100.404;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;346,59;1,19
390.160.100.405;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;291,75;310,15;1,06
390.160.100.406;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;291,75;402,79;1,38
390.160.100.407;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;238,36;0,82
390.160.100.408;291,752467907;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;317,62;1,09
390.160.100.413;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;130,50;0,45
390.160.100.417;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;238,36;0,82
390.160.100.421;291,752467907;6;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;249,06;0,85
390.160.100.422;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;291,75;313,61;1,07
390.160.100.423;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;291,75;241,45;0,83
390.160.100.425;291,752467907;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;317,62;1,09
390.160.100.426;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;291,75;241,45;0,83
390.160.100.431;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;291,75;402,79;1,38
390.160.100.432;291,752467907;6;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;303,57;1,04
390.160.100.433;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;291,75;310,15;1,06
390.160.100.434;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;291,75;241,45;0,83
390.160.100.437;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;346,59;1,19
390.160.100.439;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;291,75;310,15;1,06
390.160.100.440;291,752467907;6;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;303,57;1,04
390.160.100.443;291,752467907;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;291,75;238,36;0,82
390.160.100.502;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;131,53;0,45
390.160.100.504;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;294,05;243,28;0,83
390.160.100.506;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;240,23;0,82
390.160.100.509;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;294,05;243,35;0,83
390.160.100.510;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;294,05;405,96;1,38
390.160.100.511;294,052517684;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;332,95;1,13
390.160.100.512;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;294,05;405,96;1,38
390.160.100.513;294,052517684;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;332,95;1,13
390.160.100.516;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;294,05;316,08;1,07
390.160.100.517;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;294,05;312,60;1,06
390.160.100.518;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;294,05;243,35;0,83
390.160.100.522;294,052517684;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;320,13;1,09
390.160.100.530;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;294,05;243,35;0,83
390.160.100.531;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;294,05;243,35;0,83
390.160.100.533;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;294,05;312,60;1,06
390.160.100.539;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;294,05;243,35;0,83
390.160.100.542;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;294,05;243,28;0,83
390.160.100.550;294,052517684;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;332,95;1,13
390.160.100.553;294,052517684;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;349,32;1,19
390.160.100.556;294,052517684;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,05;332,95;1,13
390.160.101.401;259,905624836;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;282,95;1,09
390.160.101.402;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;308,76;1,19
390.160.101.403;259,905624836;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;282,95;1,09
390.160.101.405;259,905624836;6;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;221,87;0,85
390.160.101.406;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;259,91;215,09;0,83
390.160.101.408;259,905624836;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;294,29;1,13
390.160.101.413;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;259,91;215,09;0,83
390.160.101.414;259,905624836;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;294,29;1,13
390.160.101.421;259,905624836;6;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;270,44;1,04
390.160.101.422;259,905624836;6;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;294,29;1,13
390.160.101.423;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;259,91;215,09;0,83
390.160.101.424;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;259,91;215,03;0,83
390.160.101.425;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;259,91;279,37;1,07
390.160.101.426;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;259,91;215,03;0,83
390.160.101.427;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;259,91;279,37;1,07
390.160.101.429;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;259,91;215,09;0,83
390.160.101.433;259,905624836;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;282,95;1,09
390.160.101.434;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;308,76;1,19
390.160.101.436;259,905624836;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;282,95;1,09
390.160.101.438;259,905624836;6;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;259,91;212,34;0,82
390.160.300.104;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;261,32;216,27;0,83
390.160.300.106;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,32;310,44;1,19
390.160.300.110;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,32;310,44;1,19
390.160.300.112;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;261,32;116,89;0,45
390.160.300.113;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,32;360,77;1,38
390.160.300.115;261,321040084;6;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,32;284,49;1,09
390.160.300.117;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;261,32;280,90;1,07
390.160.300.119;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;261,32;216,27;0,83
390.160.300.121;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;261,32;280,90;1,07
390.160.300.123;261,321040084;6;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;261,32;277,80;1,06
