N_IDE;Estrato;qvar;Elev_pob;se;se2;;;;;;
390950100112;3;1.00;253.381395882;12;123;;;;;;
390950100123;3;1.00;253.381395882;12;123;;;;;;
390950100145;3;1.00;253.381395882;12;123;;;;;;
391020100249;3;1.00;241.361405565;12;123;;;;;;
391020100253;3;1.00;241.361405565;12;123;;;;;;
390020100113;3;1.00;278.062442666;13;133;;;;;;
390020100124;3;1.00;278.062442666;13;133;;;;;;
390020100126;3;1.00;278.062442666;13;133;;;;;;
390020100138;3;1.00;278.062442666;13;133;;;;;;
390110100124;3;1.00;264.439786974;13;133;;;;;;
390110100130;3;1.00;264.439786974;13;133;;;;;;
390370100103;3;1.00;229.020882173;13;133;;;;;;
390370100106;3;1.00;229.020882173;13;133;;;;;;
390410100127;3;1.00;295.565235584;13;133;;;;;;
390410100130;3;1.00;295.565235584;13;133;;;;;;
390410100151;3;1.00;295.565235584;13;133;;;;;;
390440100216;3;1.00;230.463281011;13;133;;;;;;
390440100218;3;1.00;230.463281011;13;133;;;;;;
390440100230;3;1.00;230.463281011;13;133;;;;;;
390560100213;3;1.00;226.204770156;13;133;;;;;;
390560100221;3;1.00;226.204770156;13;133;;;;;;
390560100228;3;1.00;226.204770156;13;133;;;;;;
390560100230;3;1.00;226.204770156;13;133;;;;;;
390560100233;3;1.00;226.204770156;13;133;;;;;;
390560100245;3;1.00;226.204770156;13;133;;;;;;
390760100109;3;1.00;261.463408419;13;133;;;;;;
390760100123;3;1.00;261.463408419;13;133;;;;;;
390760100233;3;1.00;257.036999287;13;133;;;;;;
390760100234;3;1.00;257.036999287;13;133;;;;;;
390760100249;3;1.00;257.036999287;13;133;;;;;;
390950100114;3;1.00;253.381395882;13;133;;;;;;
390990100201;3;1.00;321.376583212;13;133;;;;;;
390990100233;3;1.00;321.376583212;13;133;;;;;;
391020100214;3;1.00;241.361405565;13;133;;;;;;
391020100216;3;1.00;241.361405565;13;133;;;;;;
391020100246;3;1.00;241.361405565;13;133;;;;;;
391020100258;3;1.00;241.361405565;13;133;;;;;;
391020100259;3;1.00;241.361405565;13;133;;;;;;
390020100105;3;1.00;278.062442666;14;143;;;;;;
390020100117;3;1.00;278.062442666;14;143;;;;;;
390020100120;3;1.00;278.062442666;14;143;;;;;;
390020100121;3;1.00;278.062442666;14;143;;;;;;
390020100140;3;1.00;278.062442666;14;143;;;;;;
390110100105;3;1.00;264.439786974;14;143;;;;;;
390110100111;3;1.00;264.439786974;14;143;;;;;;
390110100117;3;1.00;264.439786974;14;143;;;;;;
390110100125;3;1.00;264.439786974;14;143;;;;;;
390110100129;3;1.00;264.439786974;14;143;;;;;;
390410100112;3;1.00;295.565235584;14;143;;;;;;
390410100123;3;1.00;295.565235584;14;143;;;;;;
390410100124;3;1.00;295.565235584;14;143;;;;;;
390440100225;3;1.00;230.463281011;14;143;;;;;;
390570100111;3;1.00;294.721727492;14;143;;;;;;
390760100127;3;1.00;261.463408419;14;143;;;;;;
390760100203;3;1.00;257.036999287;14;143;;;;;;
390950100137;3;1.00;253.381395882;14;143;;;;;;
390990100222;3;1.00;321.376583212;14;143;;;;;;
390020100118;3;1.00;278.062442666;15;153;;;;;;
390110100107;3;1.00;264.439786974;15;153;;;;;;
390370100129;3;1.00;229.020882173;15;153;;;;;;
390370100141;3;1.00;229.020882173;15;153;;;;;;
390410100135;3;1.00;295.565235584;15;153;;;;;;
390410100136;3;1.00;295.565235584;15;153;;;;;;
390440100219;3;1.00;230.463281011;15;153;;;;;;
390570100104;3;1.00;294.721727492;15;153;;;;;;
390570100145;3;1.00;294.721727492;15;153;;;;;;
390570100148;3;1.00;294.721727492;15;153;;;;;;
390570100159;3;1.00;294.721727492;15;153;;;;;;
390760100222;3;1.00;257.036999287;15;153;;;;;;
390760100224;3;1.00;257.036999287;15;153;;;;;;
390760100228;3;1.00;257.036999287;15;153;;;;;;
390990100208;3;1.00;321.376583212;15;153;;;;;;
390990100216;3;1.00;321.376583212;15;153;;;;;;
391020100215;3;1.00;241.361405565;15;153;;;;;;
391020100236;3;1.00;241.361405565;15;153;;;;;;
391020100237;3;1.00;241.361405565;15;153;;;;;;
391020100243;3;1.00;241.361405565;15;153;;;;;;
390020100128;3;1.00;278.062442666;16;163;;;;;;
390110100110;3;1.00;264.439786974;16;163;;;;;;
390110100118;3;1.00;264.439786974;16;163;;;;;;
390370100105;3;1.00;229.020882173;16;163;;;;;;
390410100109;3;1.00;295.565235584;16;163;;;;;;
